unit_ids,unit location,branch_id,velocity,length,r2
10,[2450.  -367.5],0,262.98487665458504,146.2855380545554,0.9974101191148084
10,[2450.  -367.5],1,124.55372093302846,359.06917095513177,0.9140724022164396
29,[ 595. -805.],0,519.0264656605002,651.9083920068292,0.9613908126968576
32,[ 1242.5 -1837.5],0,194.74853367731933,617.172512873605,0.8752310693541127
48,[2275.  -857.5],0,51.848259625305495,473.3280555217717,0.8564322975665772
56,[ 2502.5 -1172.5],0,319.69957564636195,477.8349692216808,0.8073251711762628
57,[2590. -980.],0,176.09499563244245,665.8819575202857,0.9827746121734535
76,[ 2625.  -1172.5],0,694.3748465904813,790.2187921164526,0.960084495909975
76,[ 2625.  -1172.5],1,130.6364940397085,780.1273992328144,0.8616122405760228
82,[ 3622.5 -2065. ],0,190.9845561004827,1472.2986314490488,0.9384647751377169
93,[ 2485.  -2012.5],0,110.05692045597189,344.38506531231246,0.969620066018283
96,[1435.   -0.],0,483.45433358708715,352.99328176723657,0.9388873768711482
96,[1435.   -0.],1,401.3308194623443,265.88599286791396,0.805395031783507
108,[1925.  -822.5],0,226.34669272387217,1129.0269182042214,0.9245763076148277
108,[1925.  -822.5],1,75.30644703488889,682.0727347816364,0.9279123396674388
108,[1925.  -822.5],2,539.8236348087275,473.3395026856838,0.9665805426446438
108,[1925.  -822.5],3,100.08954847260121,616.9875466449554,0.880803597228835
125,[ 3097.5 -2065. ],0,356.00522706498236,158.62866428930465,0.8938436796000215
132,[ 3097.5 -2065. ],0,629.9406905125616,268.7855380545554,0.9375236898672791
132,[ 3097.5 -2065. ],1,138.3378247209976,234.74873734152916,0.8525945852689155
141,[ 280.  -542.5],0,1114.889689615729,489.8264559388491,0.986443343613244
148,[ 297.5 -472.5],0,503.3451516099792,170.00859123708014,0.8407312602397271
150,[ 315. -455.],0,96.25188556102239,705.720822374211,0.9890460033692287
150,[ 315. -455.],1,247.171291183062,1102.5774259521281,0.9248870331346843
156,[ 1260.  -1067.5],0,162.6676457446316,366.6006271492464,0.9429489771737799
162,[ 1260.  -1102.5],0,110.88933984658155,580.851166147112,0.8744038112009557
169,[ 1347.5 -1225. ],0,554.9899329734329,235.9193929394118,0.9847765981774839
169,[ 1347.5 -1225. ],1,491.4260733550181,214.75150067887563,0.9912179813983253
174,[1015.   -17.5],0,148.54144135000732,758.3321176268048,0.941286598581514
183,[2275.  -857.5],0,643.1238179580987,618.1247289134895,0.9806963883463682
183,[2275.  -857.5],1,64.76547725965719,414.7735336611197,0.954386017493074
183,[2275.  -857.5],2,130.01398865903053,973.4278948314504,0.8843086243956437
185,[ 2502.5 -1172.5],0,416.78623780552977,914.370863062771,0.8484079188391739
185,[ 2502.5 -1172.5],1,152.77336171974576,594.3506737007549,0.8525988753666889
185,[ 2502.5 -1172.5],2,143.38897512607022,836.127227757615,0.984359228528804
185,[ 2502.5 -1172.5],3,323.8497626486389,1418.5175162116266,0.9892989331458221
185,[ 2502.5 -1172.5],4,363.0355953306341,1202.2895671371477,0.9096883517415972
192,[1102.5  -35. ],0,65.55494593646857,395.5701503750916,0.8783301469819552
199,[ 2502.5 -1172.5],0,120.93830197463818,480.84160768087315,0.9733085216973284
201,[ 595. -805.],0,142.54076677383716,686.3448721289312,0.9723641658412913
201,[ 595. -805.],1,263.6310405589973,888.2225888056514,0.8685529714026968
202,[  490. -1050.],0,89.66684805468653,560.3323605963592,0.9877892127376942
207,[ 2607.5 -1487.5],0,350.9941751042918,368.3661764207319,0.9573202525398468
207,[ 2607.5 -1487.5],1,394.7845065083131,358.1628477083906,0.9850938365122284
208,[ 1242.5 -1837.5],0,554.2700372294946,319.9140272559663,0.9996267755198963
253,[ 647.5 -402.5],0,216.09809172187386,221.76999508665887,0.9964400313813857
263,[  875. -1785.],0,269.1364558126269,972.6597583278055,0.9607798939697241
268,[ 542.5 -840. ],0,382.28678297541046,140.345884662149,0.9786250619274017
281,[1155.   -52.5],0,115.32072263504645,325.43673163494043,0.9296357684596369
367,[1435.  -157.5],0,313.63751298888417,190.51111655402178,0.9573467891842444
367,[1435.  -157.5],1,462.98924871804434,294.68069308121227,0.9578587796457071
378,[1452.5 -157.5],0,202.58255868667715,587.2219948737421,0.8235998136195252
384,[ 2502.5 -1172.5],0,770.2676411077986,573.7530953518514,0.8894519467708523
398,[1067.5 -507.5],0,207.12242849025571,475.5632881523969,0.9937671887075739
398,[1067.5 -507.5],1,301.4813540865763,546.6129850677263,0.9020745943114457
408,[ 1242.5 -1137.5],0,154.05417713640895,784.3333303073383,0.9772540433786138
408,[ 1242.5 -1137.5],1,253.63465501201875,165.09462200367813,0.9729047574813005
409,[ 2677.5 -2082.5],0,40.60195829485051,372.8102964795406,0.9750663721467892
500,[1470.  -682.5],0,125.92118137540949,765.5131073181619,0.8798190090633963
542,[3097.5 -787.5],0,553.1549739610832,409.9021600558191,0.8411887374808953
553,[ 577.5 -822.5],0,508.25906981523974,383.0351286695053,0.9967212978212248
558,[ 577.5 -822.5],0,53.692223906242354,258.71178268645633,0.9769074018810731
563,[ 595. -805.],0,76.26709943412276,478.97467380826765,0.8305009038635494
565,[ 595. -805.],0,232.70711966158422,724.0286495252443,0.9837565715581301
580,[1102.5  -35. ],0,66.38582451791717,502.6752207302961,0.9925813029892923
581,[ 542.5 -840. ],0,162.69893008139164,830.6337180026104,0.944371748196869
583,[1872.5 -840. ],0,449.08749327905065,303.201364830125,0.9894285570444641
583,[1872.5 -840. ],1,736.2959228850534,272.49522070036636,0.9776493992439235
583,[1872.5 -840. ],2,499.96126812225873,255.64677249748405,0.9976115273058781
588,[2905.  -227.5],0,357.00723734946183,218.0997129484976,0.9836347394279839
623,[  280. -1085.],0,432.5975421315052,298.0732869246322,0.8463486536310444
640,[ 2362.5 -1067.5],0,604.8490917587108,155.5111165540218,0.9977980213566733
640,[ 2362.5 -1067.5],1,353.25922960645215,426.18543524850486,0.8377372521540805
640,[ 2362.5 -1067.5],2,436.237237004463,146.97104865919295,0.9476776814410836
640,[ 2362.5 -1067.5],3,513.3223671572823,276.4420973183859,0.9527388375333714
663,[ 542.5 -840. ],0,550.308858277842,345.5939204497533,0.9781838397124049
663,[ 542.5 -840. ],1,303.71034957711385,192.68321839815394,0.9878014787082774
663,[ 542.5 -840. ],2,412.75899379563924,239.22581160992445,0.9838408617992711
664,[ 542.5 -840. ],0,575.8549265100646,369.20541119526143,0.9956599913352482
664,[ 542.5 -840. ],1,377.46407273223343,154.8433593452073,0.9372431882873611
664,[ 542.5 -840. ],2,518.0224724944197,255.51970779110192,0.9691580176531835
671,[ 2782.5 -1662.5],0,242.31482594625655,719.2141082170357,0.997853249659672
671,[ 2782.5 -1662.5],1,290.2487410879154,711.4220166061684,0.9871887480230686
677,[1400. -140.],0,124.40247461858851,546.9847890057216,0.8006445898244303
679,[ 3115.  -1977.5],0,403.67283822209845,174.83733373600495,0.970036124357852
679,[ 3115.  -1977.5],1,432.5809284115614,165.87740163083382,0.9771820428677138
681,[ 2782.5 -1645. ],0,221.47764669330493,522.4967616797366,0.8848498114629985
685,[ 1172.5 -1102.5],0,293.4305392215174,258.9420973183859,0.823742876524988
685,[ 1172.5 -1102.5],1,82.46504436676526,693.9183272437242,0.8557808453160983
687,[ 2922.5 -1680. ],0,154.76187266895556,607.3849611345867,0.97727333035466
700,[ 1312.5 -1837.5],0,87.08441336591342,556.993549241075,0.9586495649555643
700,[ 1312.5 -1837.5],1,704.7453779770758,264.8061699240037,0.8737475537216249
701,[1120.  -157.5],0,134.96883089916142,463.65187287523327,0.8868928986794636
702,[1120. -105.],0,299.05063291139237,140.0,0.9546049759930161
702,[1120. -105.],1,596.4703579938513,277.04791726704804,0.9819749502772578
702,[1120. -105.],2,228.48799127756163,176.4745489514536,0.9729130874918839
702,[1120. -105.],3,389.33468405721936,328.63725552638476,0.9959765417340264
705,[2660.  -787.5],0,139.19100838087317,744.158717060595,0.983722950623309
706,[ 1540.  -1067.5],0,609.1123897750771,461.9675882902735,0.9687690185072149
706,[ 1540.  -1067.5],1,316.39709339795115,338.04194045822516,0.9755654519283623
706,[ 1540.  -1067.5],2,190.34044010521356,317.4881908224171,0.9693832502870214
706,[ 1540.  -1067.5],3,500.8451430256873,296.63978084332643,0.988261802338582
707,[ 1540.  -1067.5],0,342.340668915026,598.4200649363011,0.9804209834798959
707,[ 1540.  -1067.5],1,433.99240937273095,396.7940075897372,0.9702497369944179
709,[2520. -245.],0,463.9784168535688,441.78461232053627,0.8810206607959392
714,[ 1557.5 -1032.5],0,82.44492918536994,616.0621132684308,0.8751571671183048
715,[ 2660. -1435.],0,517.9958839293,222.39356881873897,0.9759450819524418
715,[ 2660. -1435.],1,387.6568575851357,268.93270166159004,0.9263708818691927
719,[1592.5 -437.5],0,289.8717835235356,198.77349576651443,0.9965571137344945
720,[ 2502.5 -1172.5],0,141.68471211462005,580.4916805286413,0.9025391275487479
720,[ 2502.5 -1172.5],1,115.62800957199099,487.2679603408798,0.9351292471053564
724,[ 3115.  -1977.5],0,379.55166196717397,181.97104865919295,0.9883729216640591
724,[ 3115.  -1977.5],1,478.5425213116153,147.59462200367813,0.9872327266023088
726,[1120.  -157.5],0,582.3304736361988,256.84083402826565,0.9298492833602119
