Time,DIV,Chip_ID,Run_ID,Well,NeuronType,Number_Bursts,mean_IBI,cov_IBI,mean_Burst_Peak,mean_Burst_Duration,cov_Burst_Peak,fano_factor,MeanWithinBurstISI,CoVWithinBurstISI,MeanOutsideBurstISI,CoVOutsideBurstISI,MeanNetworkISI,CoVNetworkISI,NumUnits
2024-06-11,21,M08029,91,1,MxWT,47,6.42391304347826,13.6218599033816,7.72028201318667,0.721914500975169,13.3799077368732,2582.85990331362,0.0422392834235431,0.0005538316096321,0.526103368801212,1.82450274726715,0.199649484303669,0.639572012563124,108
2024-06-11,21,M08029,91,3,MxWT,46,6.49333333333333,18.207,7.530813778106,0.668045133668196,7.13023624359002,1643.28694281926,0.0439677887639916,0.000630080438221,0.489307036081088,1.51883854510677,0.222823025266065,0.6546568147579,140
2024-06-11,21,M08029,91,4,FxHET,47,6.1,14.2831111111111,6.80248841214958,0.69042772325215,3.03803107821711,2907.29564386353,0.0410424787623455,0.0006549112079451,0.437723566775421,1.05912715070501,0.192080872688432,0.435163134317393,159
2024-06-11,21,M08029,91,5,FxHET,105,2.83557692307692,1.59532393577297,5.60317700285425,0.789762992099738,7.06769079390588,1085.9978544892,0.0300146471833675,0.0005768460627622,0.998702254671494,3.35085738064628,0.366847458894759,1.37072986903209,210
2024-06-11,21,M08029,91,6,FxHET,128,2.30629921259843,0.88408698912636,5.18281787325804,0.682871993169003,5.70532797547482,1030.95199421191,0.0298661173032486,0.0005420755198247,1.01346790319989,3.34395501701549,0.395764258912834,1.46257852299848,250
2024-06-14,24,M08029,105,1,MxWT,107,2.78396226415094,1.81316891284816,5.82963442912195,0.817377655757925,6.78854954267083,1580.5756505462,0.0292468789218783,0.0004802740183617,0.983965374354561,3.59848790923192,0.332683246144501,1.33370382983703,249
2024-06-14,24,M08029,105,2,MxWT,71,4.18571428571429,6.16472049689443,8.67516479098114,0.611012287366101,1.54563176958033,2965.95732726226,0.0405925925417964,0.0005793121669018,0.398435904161264,0.936463368406288,0.140829244242117,0.285623310828254,116
2024-06-14,24,M08029,105,3,MxWT,68,4.43432835820896,5.75471279963818,7.92582322921485,0.702350200291229,6.96225510235946,2289.41023287258,0.0417507214150091,0.0005642411208318,0.624823308963214,2.69292773632631,0.2157061255769,0.874060727736703,127
2024-06-14,24,M08029,105,4,FxHET,38,7.78378378378378,43.3686186186186,8.55415531436459,0.622405808588682,1.95431520322035,1668.68723857415,0.0485966441249105,0.0005444263141969,0.348433944464765,0.647530531828477,0.155090230247081,0.251782515619597,96
2024-06-14,24,M08029,105,5,FxHET,107,2.79905660377358,1.7747610062893,6.13027035212815,0.659087921978349,3.75315103891947,1943.72374121338,0.0363531746971311,0.0006475497268065,0.765897492726172,2.58200533021984,0.291204439582541,1.01912662461708,144
2024-06-14,24,M08029,105,6,FxHET,131,2.28615384615385,0.629884317233155,4.81394208759167,0.731933124622672,1.55736942635429,3967.89009836246,0.0290727267834847,0.0004344251105126,1.17134810716238,3.77690364945518,0.362203317255448,1.36599411209845,193
2024-06-17,27,M08029,135,1,MxWT,110,2.74128440366972,1.81337240910635,5.80307647727898,0.68364668945755,2.43001649058462,2159.70411051253,0.0404049668377495,0.0006501479964082,0.641265484708992,2.07818900809832,0.254886559409709,0.821208503917164,266
2024-06-17,27,M08029,135,2,MxWT,62,4.81967213114754,6.66693989071038,9.58412973476527,0.62374539825485,7.42921623321463,3432.20410861018,0.0374003751735702,0.0005742061555675,0.452579995769583,1.40005547039149,0.13902777210983,0.370622627882203,137
2024-06-17,27,M08029,135,3,MxWT,86,3.46823529411765,2.68743137254902,7.53857675859945,0.67198881232549,3.56517723653365,3198.17598593702,0.0361701962162853,0.0005070828688153,0.62798014796353,2.47432226134346,0.189029116092583,0.702240015601864,158
2024-06-17,27,M08029,135,4,FxHET,90,3.34719101123596,2.33524770173647,8.65020230973193,0.605363784853435,3.37242167977552,3196.73200290915,0.0362170631013078,0.0005815120493251,0.472565938430983,1.8262294170632,0.154064051109438,0.526192906587019,117
2024-06-17,27,M08029,135,5,FxHET,101,2.967,1.32283939393939,6.91496233799607,0.691349902920261,1.98439791117722,2352.16253058113,0.0371799185202807,0.0006330760668189,0.592709064306227,2.3182403282341,0.20759505157544,0.769915343447597,254
2024-06-17,27,M08029,135,6,FxHET,113,2.64910714285714,1.27549469111969,6.6045638227784,0.78213169446615,1.27548582043497,2129.20702354661,0.0392782036818514,0.0006536861578123,0.558977853242676,1.79888943528553,0.204139757361304,0.62417718787554,295
2024-06-21,31,M08029,158,1,MxWT,107,2.81792452830189,1.04148517520216,8.25049392356843,0.736086792636679,2.90472429621634,2262.62381539193,0.035632178063537,0.0006050102979833,0.543790987979445,1.54832234757827,0.172787074604821,0.464729661191699,288
2024-06-21,31,M08029,158,2,MxWT,57,5.25357142857143,8.26107792207792,6.42861543249254,0.68979299309977,9.33653453952405,1740.40484622417,0.0384411233794844,0.0006007484849512,0.639276429213274,2.3697840834221,0.276923902725449,1.02159398146774,153
2024-06-21,31,M08029,158,3,MxWT,88,3.40459770114942,3.25625768511094,8.64544190707429,0.790313285672213,3.02647249136425,3040.93427575577,0.0367013812850386,0.0005495566265445,0.472749769224571,1.10611229128497,0.16035186550661,0.348711883862838,167
2024-06-21,31,M08029,158,4,FxHET,91,3.26444444444444,2.8549013732834,5.37908247487488,0.774313083163378,3.87200179073723,1691.52868590157,0.03145187338432,0.0005527191528148,0.88910053466801,4.00616480281642,0.321008317807905,1.50780459171121,192
2024-06-21,31,M08029,158,5,FxHET,100,3.01515151515152,2.0951762523191,5.62392082932838,0.77426764225474,11.1043530981799,1077.63076525937,0.0280757007631041,0.0004644602025098,1.11055517266265,5.71676163661817,0.332133224387685,1.83364176715466,223
2024-06-21,31,M08029,158,6,FxHET,80,3.73417721518987,4.41715027588446,5.63971323332012,0.792317780963069,7.60789012014991,1263.65800715049,0.032365703215934,0.0005825036374867,0.841860795321349,3.88541443558974,0.314482648914463,1.49181231047909,252
